"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis ";"todo: opis "
"PRODUCT NAME";CATEGORY;SUBCATEGORY;MANUFACTURER;STATUS;FEATURE1_NAME;FEATURE2_NAME;FEATURE3_NAME;TAG1;TAG2;TAG3;PARENTAGE;SKU;EAN;QUANTITY;PRICE;PROMOTION;BESTSELLERS;RECOMMENDED;HOMEPAGE;FEATURE1_VALUE;FEATURE2_VALUE;FEATURE3_VALUE;PRODUCT_ID
;;;;;;;;;;;;;;;;;;;;;;;
"AAKG Mega Hardcore Caps";Supplements;"NO Boosters";"Trec Nutrition";Active;Size;;;L-Arginine;"Muscle pump";"NO Booster";Parent;;;;;;;;;;;;1
;;;;;;;;;;;Child;5901828345074;;5;24.9917;0;0;0;;240caps;;
;;;;;;;;;;;Child;5901828345104;;8;14.9917;0;0;0;;120caps;;
"AAKG Mega Hardcore Shots";Supplements;"NO Boosters";"Trec Nutrition";Active;Size;;;L-Arginine;"Muscle pump";"NO Booster";Parent;;;;;;;;;;;;2
;;;;;;;;;;;Child;5901750973550;;0;31.6600;0;0;0;;1000ml;;
;;;;;;;;;;;Child;5901750973543;;0;20.8250;0;0;0;;500ml;;
;;;;;;;;;;;Child;5901750973536;;0;41.6600;0;0;0;;"25 x 25ml";;
"ALA 250";Supplements;"Vitamins & Minerals";"Trec Nutrition";Active;Size;;;ALA;Antioxidant;"Alpha Lipoic Acid";Parent;;;;;;;;;;;;3
;;;;;;;;;;;Child;5902114010225;;8;8.3250;0;0;1;0;60caps;;
"Amino 4500";Supplements;"Amino Acids";"Trec Nutrition";Active;Size;;;amino;acids;muscles;Parent;;;;;;;;;;;;4
;;;;;;;;;;;Child;5901828341311;;16;16.6600;0;0;0;0;125tabs;;
;;;;;;;;;;;Child;5901828344121;;24;29.1600;0;0;0;;335tabs;;
;;;;;;;;;;;Child;5901828341328;;0;22.0000;0;0;0;;250tabs;;
"Aminomax 6800";Supplements;"Amino Acids";"Trec Nutrition";Active;Size;;;amino;acids;muscles;Parent;;;;;;;;;;;;5
